﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Districte;Secció;Població;Cens;Participació 14:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43014;Amposta;4;6;;1748;551;798;1082;666;9;7;1066;1073
17;Girona;3;Girona;34;Selva;17008;Anglès;1;1;;828;305;444;579;249;19;17;543;560
17;Girona;3;Girona;34;Selva;17008;Anglès;1;2;;1615;646;934;1152;463;19;19;1114;1133
17;Girona;3;Girona;34;Selva;17008;Anglès;1;3;;1199;476;693;849;350;2;24;823;847
25;Lleida;4;Lleida;38;Urgell;25027;Anglesola;1;1;;1008;459;661;804;204;7;8;789;797
25;Lleida;4;Lleida;18;Garrigues;25029;Arbeca;1;1;;793;338;453;586;207;5;5;576;581
25;Lleida;4;Lleida;18;Garrigues;25029;Arbeca;1;2;;878;367;548;694;184;5;4;685;689
43;Tarragona;8;Penedès;12;Baix Penedès;43016;Arboç, l';1;1;;1616;654;860;1070;546;12;6;1052;1058
43;Tarragona;8;Penedès;12;Baix Penedès;43016;Arboç, l';1;2;;1985;782;1144;1436;549;15;10;1411;1421
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43015;Arbolí;1;1;;118;71;87;102;16;0;0;102;102
17;Girona;3;Girona;34;Selva;17009;Arbúcies;1;1;;1542;598;956;1150;392;12;30;1108;1138
17;Girona;3;Girona;34;Selva;17009;Arbúcies;1;2;;1557;692;973;1187;370;17;39;1131;1170
17;Girona;3;Girona;34;Selva;17009;Arbúcies;2;1;;994;449;622;755;239;12;23;720;743
8;Barcelona;1;Barcelona;21;Maresme;08006;Arenys de Mar;1;1;;1848;889;1101;1246;602;6;14;1226;1240
8;Barcelona;1;Barcelona;21;Maresme;08006;Arenys de Mar;1;2;;1742;695;972;1191;551;3;10;1178;1188
8;Barcelona;1;Barcelona;21;Maresme;08006;Arenys de Mar;1;3;;974;376;496;610;364;5;8;597;605
8;Barcelona;1;Barcelona;21;Maresme;08006;Arenys de Mar;1;4;;913;265;409;523;390;2;8;513;521
8;Barcelona;1;Barcelona;21;Maresme;08006;Arenys de Mar;2;1;;1312;512;664;819;493;5;9;805;814
8;Barcelona;1;Barcelona;21;Maresme;08006;Arenys de Mar;2;2;;1447;607;863;1007;440;5;11;991;1002
8;Barcelona;1;Barcelona;21;Maresme;08006;Arenys de Mar;2;3;;1373;521;715;899;474;5;6;888;894
8;Barcelona;1;Barcelona;21;Maresme;08006;Arenys de Mar;2;4;;1013;441;580;593;420;2;1;590;591
8;Barcelona;1;Barcelona;21;Maresme;08006;Arenys de Mar;2;5;;1315;493;649;834;481;4;4;826;830
8;Barcelona;1;Barcelona;21;Maresme;08007;Arenys de Munt;1;1;;1204;467;644;816;388;7;20;789;809
8;Barcelona;1;Barcelona;21;Maresme;08007;Arenys de Munt;1;2;;2307;962;1319;1595;712;17;40;1538;1578
8;Barcelona;1;Barcelona;21;Maresme;08007;Arenys de Munt;2;1;;1616;713;953;1165;451;7;24;1134;1158
8;Barcelona;1;Barcelona;21;Maresme;08007;Arenys de Munt;2;2;;1703;614;848;1059;644;16;39;1004;1043
17;Girona;3;Girona;19;Garrotxa;17010;Argelaguer;1;1;;330;128;182;222;108;14;22;186;208
8;Barcelona;8;Penedès;6;Anoia;08008;Argençola;1;1;;184;90;113;146;38;10;3;133;136
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43017;Argentera, l';1;1;;119;59;81;99;20;3;11;85;96
8;Barcelona;1;Barcelona;21;Maresme;08009;Argentona;1;1;;660;262;373;481;179;0;15;466;481
8;Barcelona;1;Barcelona;21;Maresme;08009;Argentona;1;2;;1336;583;804;982;354;6;27;949;976
8;Barcelona;1;Barcelona;21;Maresme;08009;Argentona;1;3;;616;268;357;405;211;3;8;394;402
8;Barcelona;1;Barcelona;21;Maresme;08009;Argentona;1;4;;1455;491;684;837;618;4;6;827;833
8;Barcelona;1;Barcelona;21;Maresme;08009;Argentona;1;5;;828;384;529;665;163;3;5;657;662
